du_lieu,nhan
"ơi, mở quạt bàn cho mình giúp mình",bat_quat
"Quạt chạy to quá, cho quạt nghỉ đi",tat_quat
"ơi, trời tối rồi, cần thêm ánh sáng hộ mình",bat_den
giúp tôi cho mát hơn để đọc tài liệu hộ tôi,bat_quat
"ơi, bớt ánh sáng lại giúp tôi",tat_den
"này, tối quá, bật đèn lên",bat_den
giúp tôi bật quạt để đọc sách cho dễ chịu giúp tôi,bat_quat
giúp tôi mình rất cần mát hơn hộ mình,bat_quat
"ơi, căn phòng ngột ngạt quá, bật quạt lên nhé",bat_quat
anh rất cần không khí thoáng hơn giúp tôi,bat_quat
"này, gió mạnh quá, tắt quạt đi hộ mình",tat_quat
mở ánh sáng cho mình đi,bat_den
làm ơn chói quá,tat_den
giúp tôi gió lùa khó chịu quá giúp tôi,tat_quat
"giúp mình ánh sáng làm mình mỏi mắt, giảm ánh sáng đi hộ mình",tat_den
"này, khó chịu vì nóng, bật quạt lên giúp tôi",bat_quat
"ơi, đèn gắt quá nhé",tat_den
"giúp tôi bí quá, cho mát hơn giúp tôi",bat_quat
em cần bật quạt!,bat_quat
làm ơn mở đèn để đọc sách nhé,bat_den
"ơi, bàn học ngột ngạt quá, bật quạt lên với",bat_quat
"quạt ồn quá, thôi không cần quạt nữa",tat_quat
làm ơn giảm đèn học lại giúp tôi,tat_den
giúp mình ngay bây giờ bật quạt trong phòng giúp tôi,bat_quat
"Chói mắt quá, giảm ánh sáng đi",tat_den
mình muốn mở đèn để đọc rõ hơn giúp mình,bat_den
làm ơn tắt quạt điện đi với,tat_quat
"Gió mạnh quá, thôi không cần quạt nữa",tat_quat
"quạt ồn quá, cho quạt nghỉ đi",tat_quat
Thiếu ánh sáng quá,bat_den
"làm ơn mình muốn thư giãn, tắt đèn đi với",tat_den
"giúp mình góc học hơi tối, bật đèn lên giúp mình",bat_den
Tắt ánh sáng cho mình,tat_den
giúp mình tôi rất cần sáng hơn một chút nhé,bat_den
giúp tôi anh muốn ánh sáng dịu hơn giúp tôi,tat_den
thiếu ánh sáng quá.,bat_den
giúp tôi tớ cần không khí thoáng hơn nhé,bat_quat
"này, cho sáng hơn để đọc tài liệu giúp mình",bat_den
"ơi, đủ mát rồi, tắt quạt đi",tat_quat
"làm ơn phòng nóng thật, cho mát hơn hộ mình",bat_quat
"này, ngay mở quạt điện đi",bat_quat
"này, tớ không cần đèn nữa hộ mình",tat_den
làm ơn tắt ánh sáng để nghỉ mắt,tat_den
làm ơn cho tối hơn để chợp mắt hộ mình,tat_den
"này, gió tạt vào người khó chịu, ngừng quạt lại đi",tat_quat
giúp mình bớt đèn trong phòng đi,tat_den
giúp mình tắt quạt cho mình với,tat_quat
"bàn học không thoáng, mở quạt đi hộ tôi",bat_quat
"gió tạt vào người khó chịu, tắt quạt đi với",tat_quat
"này, tôi muốn ánh sáng dịu hơn hộ tôi",tat_den
"này, bật đèn bàn cho mình hộ mình",bat_den
"ơi, chỗ ngồi mờ quá, mở đèn giúp mình hộ tôi",bat_den
"này, đèn gắt quá, giảm ánh sáng đi hộ mình",tat_den
"ơi, gió mạnh quá, tắt quạt đi với",tat_quat
Ánh sáng mạnh quá,tat_den
"làm ơn góc học hơi tối, bật đèn lên hộ mình",bat_den
"làm ơn quạt thổi vào người lạnh quá, tắt đi",tat_quat
"giúp tôi quạt đang thổi mạnh quá, cho quạt nghỉ đi đi",tat_quat
gió tạt vào người khó chịu đi,tat_quat
giảm đèn trong phòng lại giúp mình,tat_den
"ơi, gió mạnh quá, thôi không cần quạt nữa giúp mình",tat_quat
"làm ơn quạt chạy to quá, thôi không cần quạt nữa với",tat_quat
"này, em rất cần bật đèn",bat_den
cho yên hơn để thư giãn giúp mình,tat_quat
giúp mình mở đèn học,bat_den
"này, mình chỉ muốn nghỉ ngơi thôi, tắt đèn nhé hộ mình",tat_den
"giúp mình mình thấy đủ mát rồi, tắt quạt nhé với",tat_quat
"ơi, ánh sáng làm mình mỏi mắt, giảm ánh sáng đi hộ mình",tat_den
"ơi, mình muốn thư giãn, tắt quạt đi",tat_quat
em không cần đèn nữa với,tat_den
làm ơn tôi muốn ánh sáng dịu hơn giúp mình,tat_den
tắt quạt vì lạnh rồi đi,tat_quat
"này, giảm đèn học đi đi",tat_den
giúp tôi cho yên hơn để tập trung hộ tôi,tat_quat
mình cần sáng hơn một chút đi,bat_den
giúp mình bớt đèn trong phòng đi đi,tat_den
"giúp tôi gió vào mặt khó chịu quá, tắt quạt đi đi",tat_quat
"này, tắt quạt để đỡ ồn giúp mình",tat_quat
"giúp mình quạt ồn quá, thôi không cần quạt nữa đi",tat_quat
"này, mát rồi, thôi không cần quạt nữa với",tat_quat
"giúp tôi phòng hơi tối, cần thêm ánh sáng hộ mình",bat_den
"giúp tôi căn phòng mờ quá, mở đèn giúp mình với",bat_den
làm ơn em cần mở quạt ngay hộ mình,bat_quat
"gây chói mắt, bớt sáng lại.",tat_den
sáng quá!,tat_den
"Quạt mạnh quá, tắt quạt đi",tat_quat
"ơi, gió tạt vào người khó chịu",tat_quat
"ơi, bây giờ bật quạt trong phòng giúp mình",bat_quat
"ơi, mở đèn để đọc sách đi",bat_den
"ơi, không muốn quạt nữa, cho quạt nghỉ đi giúp tôi",tat_quat
"ơi, quạt đang thổi mạnh quá, tắt quạt đi đi",tat_quat
"ơi, ánh sáng mạnh quá, bớt sáng lại giúp tôi",tat_den
"làm ơn gây chói mắt, tắt đèn đi giúp mình",tat_den
tôi thấy lạnh rồi hộ mình,tat_quat
giúp tôi ngay bật đèn bàn giúp mình,bat_den
"này, mở đèn trong phòng cho mình nhé",bat_den
"ơi, em rất cần thêm ánh sáng giúp mình",bat_den
"làm ơn quạt mạnh quá, tắt quạt đi đi",tat_quat
Tắt quạt để đọc yên tĩnh,tat_quat
"giúp mình quạt chạy to quá, cho quạt nghỉ đi hộ mình",tat_quat
làm ơn bật quạt bàn để mát hơn với,bat_quat
"giúp mình chữ mờ quá, bật đèn lên hộ tôi",bat_den
tắt quạt đi giúp tôi,tat_quat
"ánh sáng đang hơi gắt, tắt đèn giúp mình với",tat_den
giúp tôi mình cần mát hơn hộ tôi,bat_quat
"này, hơi lạnh rồi giúp tôi",tat_quat
làm ơn không thoáng chút nào nhé,bat_quat
tắt quạt đi.,tat_quat
"làm ơn chữ mờ quá, cho sáng hơn đi",bat_den
"quạt mạnh quá, ngừng quạt lại!",tat_quat
"này, mình cần quạt để làm bài",bat_quat
mở quạt điện cho mình giúp tôi,bat_quat
Mát rồi,tat_quat
giúp mình bật đèn trong phòng để đọc sách với,bat_den
giúp tôi tắt đèn học đi nhé,tat_den
"làm ơn quạt ồn quá, cho quạt nghỉ đi với",tat_quat
em rất cần bật đèn với,bat_den
em rất cần mở đèn để đọc rõ hơn,bat_den
mở quạt để làm bài hộ mình,bat_quat
"mình muốn đọc yên tĩnh, tắt quạt đi",tat_quat
giúp mình tắt quạt để nghỉ giúp tôi,tat_quat
"này, em đang cần bật quạt hộ mình",bat_quat
làm ơn phòng tự học chưa đủ sáng để học hộ tôi,bat_den
làm ơn em đang cần mở đèn để đọc rõ hơn giúp tôi,bat_den
"này, bàn học tối quá hộ tôi",bat_den
"ơi, lúc này mở đèn trong phòng hộ tôi",bat_den
Bí quá,bat_quat
"ơi, chói quá, tắt đèn đi",tat_den
"ơi, em đang cần mở đèn để đọc rõ hơn với",bat_den
làm ơn mình cần quạt để ghi chép đi,bat_quat
bật ánh sáng giúp tôi,bat_den
Mở quạt giúp mình cho dễ thở hơn,bat_quat
"làm ơn gió tạt vào người khó chịu, ngừng quạt lại",tat_quat
"ơi, anh đang cần thêm ánh sáng với",bat_den
làm ơn tôi muốn ánh sáng dịu hơn,tat_den
"giúp tôi gây chói mắt, tắt đèn đi nhé",tat_den
giúp mình tắt quạt để đọc yên tĩnh giúp mình,tat_quat
giúp mình mình cần quạt để học đi,bat_quat
"này, oi quá, bật quạt lên giúp mình",bat_quat
làm ơn tôi muốn ánh sáng dịu hơn hộ tôi,tat_den
"ơi, ngay bật quạt nhé",bat_quat
"ơi, tắt quạt bàn cho mình giúp tôi",tat_quat
"ánh sáng làm mình mỏi mắt, cho dịu ánh sáng hơn giúp tôi",tat_den
cho sáng hơn để xem bài với,bat_den
"giúp mình gắt quá, tắt đèn đi hộ tôi",tat_den
anh muốn mát hơn đi,bat_quat
giúp mình tớ cần không khí thoáng hơn,bat_quat
"ơi, mở quạt trong phòng giúp mình",bat_quat
"ơi, cần sáng hơn để đọc tài liệu giúp mình",bat_den
"này, tắt đèn đi đi",tat_den
"này, lúc này mở quạt trong phòng",bat_quat
"này, gây chói mắt, giảm ánh sáng đi hộ tôi",tat_den
"này, mở đèn cho mình xem bài giúp mình",bat_den
tớ đang cần mở quạt ngay hộ tôi,bat_quat
giúp tôi tớ muốn tắt quạt nhé,tat_quat
giúp mình anh muốn tắt đèn nhé,tat_den
giúp tôi bật quạt hộ tôi,bat_quat
giúp mình phòng học tối quá với,bat_den
"giúp mình mát rồi, tắt quạt đi hộ mình",tat_quat
"ơi, hơi lạnh rồi, thôi không cần quạt nữa đi",tat_quat
"ơi, sáng quá, cho dịu ánh sáng hơn với",tat_den
"này, tắt quạt bàn vì lạnh rồi giúp tôi",tat_quat
"giúp tôi chỗ ngồi mờ quá, mở đèn giúp mình hộ mình",bat_den
"này, tắt quạt đi với",tat_quat
làm ơn tôi rất cần bật đèn giúp mình,bat_den
em muốn tắt đèn.,tat_den
"này, gây chói mắt, giảm ánh sáng đi giúp mình",tat_den
"làm ơn không cần sáng nữa, giảm ánh sáng đi",tat_den
"giúp tôi phòng đang sáng quá, giảm ánh sáng đi hộ tôi",tat_den
giúp tôi tắt quạt trong phòng với,tat_quat
ngay mở đèn học với,bat_den
"ơi, tôi thấy lạnh rồi đi",tat_quat
"ơi, mở quạt bàn để mát hơn",bat_quat
làm ơn em rất cần sáng hơn một chút với,bat_den
"làm ơn khó nhìn quá, mở đèn đi",bat_den
"giúp mình ánh sáng làm mình mỏi mắt, tắt đèn đi giúp mình",tat_den
giúp tôi tắt đèn để chuẩn bị ngủ hộ tôi,tat_den
giúp mình bật quạt trong phòng lên hộ mình,bat_quat
"giúp tôi không cần sáng nữa, cho dịu ánh sáng hơn hộ tôi",tat_den
"giúp mình mình muốn thư giãn, tắt đèn đi với",tat_den
giúp mình dừng quạt lại giúp mình nhé,tat_quat
"làm ơn mồ hôi bắt đầu ra rồi, bật quạt lên nhé",bat_quat
"ơi, bàn học không thoáng, mở quạt đi với",bat_quat
"ơi, mình muốn tắt quạt nhé",tat_quat
giúp mình ngay bây giờ bật ánh sáng giúp tôi,bat_den
"mát rồi, cho quạt nghỉ đi.",tat_quat
giúp tôi mình muốn sáng hơn một chút giúp mình,bat_den
"này, gây chói mắt, cho dịu ánh sáng hơn giúp mình",tat_den
giúp tôi không thấy rõ hộ mình,bat_den
giúp tôi mình chuẩn bị ngủ nên tắt đèn hộ mình,tat_den
"lạnh quá, thôi không cần quạt nữa giúp mình",tat_quat
"ơi, chỗ này tối thật hộ mình",bat_den
"ơi, tắt ánh sáng để nghỉ mắt hộ mình",tat_den
bật đèn bàn để học!,bat_den
"giúp mình mắt mỏi vì đèn quá sáng, cho dịu ánh sáng hơn hộ mình",tat_den
"làm ơn mắt mỏi vì đèn quá sáng, tắt đèn đi giúp mình",tat_den
mở quạt trong phòng để mát hơn giúp tôi,bat_quat
"này, bật quạt để tiếp tục học đi",bat_quat
"này, đèn chưa đủ sáng, cần thêm ánh sáng giúp tôi",bat_den
"này, em rất cần mở quạt ngay giúp tôi",bat_quat
tôi rất cần mát hơn!,bat_quat
"không muốn quạt nữa, ngừng quạt lại.",tat_quat
"giúp mình nóng quá, cần gió một chút với",bat_quat
"khó chịu vì chói, cho dịu ánh sáng hơn hộ mình",tat_den
giúp mình mở quạt trong phòng để dễ chịu hơn giúp tôi,bat_quat
mát rồi nhé,tat_quat
giúp tôi tắt quạt bàn để đỡ ồn với,tat_quat
tắt quạt để tập trung đi,tat_quat
"này, mình không cần quạt nữa giúp mình",tat_quat
"ơi, mình cần sáng hơn một chút với",bat_den
làm ơn em thấy chói mắt quá hộ tôi,tat_den
giúp mình mở quạt để tiếp tục học giúp mình,bat_quat
giúp mình tớ không cần quạt nữa hộ mình,tat_quat
giúp mình mình muốn mở đèn để đọc rõ hơn,bat_den
"ơi, không cần quạt nữa giúp tôi",tat_quat
cho sáng hơn để đọc tài liệu với,bat_den
"chói mắt quá, giảm ánh sáng đi hộ mình",tat_den
đèn gắt quá hộ mình,tat_den
làm ơn oi quá giúp tôi,bat_quat
"làm ơn trời tối rồi, mở đèn đi với",bat_den
"ơi, anh muốn tắt quạt nhé",tat_quat
giúp mình ngay mở quạt điện đi,bat_quat
"này, cho sáng hơn để đọc tài liệu hộ tôi",bat_den
"ơi, phòng đang sáng quá, giảm ánh sáng đi",tat_den
giúp mình mở quạt bàn lên giúp tôi,bat_quat
"giúp mình gió mạnh quá, ngừng quạt lại hộ mình",tat_quat
"này, trời tối rồi, cho sáng hơn hộ tôi",bat_den
làm ơn tắt đèn trong phòng để nghỉ mắt giúp tôi,tat_den
giúp tôi ngay mở đèn học giúp mình,bat_den
giúp tôi quạt ồn quá nhé,tat_quat
"làm ơn mát rồi, thôi không cần quạt nữa hộ tôi",tat_quat
"này, mở quạt trong phòng để dễ chịu hơn hộ tôi",bat_quat
"ơi, mở đèn trong phòng để đọc sách",bat_den
làm ơn tắt đèn bàn đi nhé,tat_den
"này, mình nhìn không rõ, mở đèn đi giúp tôi",bat_den
tôi rất cần thêm ánh sáng với,bat_den
giúp mình gắt quá hộ mình,tat_den
"ơi, mờ mờ quá, mở đèn đi hộ tôi",bat_den
"giúp mình không cần sáng nữa, bớt sáng lại hộ tôi",tat_den
giúp tôi ngay bật quạt trong phòng giúp mình,bat_quat
lúc này bật quạt trong phòng hộ mình,bat_quat
"ơi, bây giờ bật ánh sáng hộ tôi",bat_den
"làm ơn đủ sáng rồi, cho dịu ánh sáng hơn giúp mình",tat_den
cho phòng tối hơn một chút hộ mình,tat_den
làm ơn chói mắt quá giúp tôi,tat_den
làm ơn anh rất cần bật quạt giúp mình,bat_quat
làm ơn tắt quạt,tat_quat
làm ơn tớ thấy chói mắt quá nhé,tat_den
"gió mạnh quá, tắt quạt đi giúp tôi",tat_quat
giúp tôi chói quá với,tat_den
"này, bàn học tối quá, cần thêm ánh sáng",bat_den
"này, nóng quá hộ tôi",bat_quat
giúp tôi ngay bây giờ bật đèn giúp tôi,bat_den
"làm ơn mình nhìn không rõ, mở đèn đi hộ mình",bat_den
"giúp tôi sáng quá, bớt sáng lại giúp tôi",tat_den
bật quạt điện giúp mình,bat_quat
"giúp tôi đèn gắt quá, bớt sáng lại đi",tat_den
giúp mình giảm ánh sáng lại hộ tôi,tat_den
"này, tớ đang cần bật đèn giúp mình",bat_den
làm ơn bớt ánh sáng lại giúp mình,tat_den
"này, tắt ánh sáng hộ mình",tat_den
làm ơn tôi rất cần thêm ánh sáng đi,bat_den
"không thấy rõ, mở đèn đi nhé",bat_den
"làm ơn quạt làm mình lạnh, thôi không cần quạt nữa hộ tôi",tat_quat
giúp tôi bật đèn học lên giúp mình,bat_den
"này, chói quá, giảm ánh sáng đi với",tat_den
"giúp tôi lạnh rồi, thôi không cần quạt nữa",tat_quat
"này, tôi muốn yên tĩnh hơn nên tắt quạt hộ mình",tat_quat
"ơi, tắt đèn trong phòng để nghỉ mắt hộ mình",tat_den
"ơi, tối mắt quá, bật đèn lên với",bat_den
"không cần sáng nữa, bớt sáng lại đi",tat_den
"khó chịu vì chói, giảm ánh sáng đi hộ tôi",tat_den
"này, tắt quạt để thư giãn nhé",tat_quat
giúp tôi tắt quạt điện cho mình giúp mình,tat_quat
"này, phòng hầm quá, cần gió một chút hộ tôi",bat_quat
tôi muốn tắt đèn hộ mình,tat_den
"ra mồ hôi rồi, bật quạt lên!",bat_quat
"này, trời tối rồi, cần thêm ánh sáng đi",bat_den
"ơi, mát rồi, ngừng quạt lại giúp tôi",tat_quat
làm ơn ngay mở đèn giúp mình,bat_den
"này, ngột ngạt quá, mở quạt đi đi",bat_quat
làm ơn quạt chạy to quá hộ tôi,tat_quat
giúp tôi bật đèn để đọc tài liệu hộ mình,bat_den
làm ơn mở quạt điện cho mình nhé,bat_quat
giúp tôi mình muốn yên tĩnh hơn nên tắt quạt hộ mình,tat_quat
"này, cho tối hơn để thư giãn nhé",tat_den
giúp mình tắt quạt đi giúp tôi,tat_quat
"làm ơn đủ mát rồi, tắt quạt đi giúp mình",tat_quat
"này, mình muốn tắt đèn giúp mình",tat_den
đủ sáng rồi!,tat_den
"làm ơn chữ mờ quá, cần thêm ánh sáng giúp mình",bat_den
"làm ơn chói mắt quá, bớt sáng lại hộ tôi",tat_den
giúp mình tớ rất cần mát hơn giúp mình,bat_quat
"đèn gắt quá, tắt đèn đi đi",tat_den
"này, mình không cần quạt nữa hộ mình",tat_quat
giúp tôi mở quạt cho thoáng phòng đi,bat_quat
"này, dừng quạt lại giúp mình",tat_quat
"này, tôi thấy chói mắt quá nhé",tat_den
giúp mình tôi cần mở đèn để đọc rõ hơn,bat_den
giúp mình gió tạt vào người khó chịu với,tat_quat
"đèn sáng quá, giảm ánh sáng đi nhé",tat_den
giúp mình tớ muốn mở quạt ngay giúp tôi,bat_quat
làm ơn mở đèn cho mình ghi chép giúp tôi,bat_den
Mình cần mát hơn,bat_quat
"này, bàn học hơi tối, bật đèn lên hộ mình",bat_den
Mình cần sáng hơn một chút,bat_den
mở đèn bàn lên giúp mình,bat_den
làm ơn mở đèn trong phòng giúp mình,bat_den
"ơi, mình rất cần thêm ánh sáng giúp mình",bat_den
bớt ánh sáng đi hộ mình,tat_den
giúp mình bật đèn trong phòng đi,bat_den
"phòng nóng thật, cho mát hơn giúp mình",bat_quat
"ơi, anh rất cần thêm ánh sáng",bat_den
"giúp tôi chói quá, cho dịu ánh sáng hơn hộ tôi",tat_den
anh không cần quạt nữa.,tat_quat
"này, mở quạt cho thoáng phòng hộ mình",bat_quat
mồ hôi bắt đầu ra rồi giúp mình,bat_quat
giúp mình bật quạt bàn để dễ chịu hơn với,bat_quat
"này, mở quạt cho mình giúp tôi",bat_quat
"làm ơn thiếu ánh sáng quá, bật đèn lên giúp tôi",bat_den
"ơi, chói quá, tắt đèn đi với",tat_den
"giúp mình đèn gắt quá, bớt sáng lại hộ mình",tat_den
"giúp tôi đèn rọi mạnh quá, giảm ánh sáng đi giúp tôi",tat_den
"giúp tôi phòng nóng thật, cho mát hơn giúp mình",bat_quat
bớt đèn học đi!,tat_den
mở quạt điện giúp mình,bat_quat
làm ơn cho tối hơn để nghỉ giúp mình,tat_den
mình cần quạt để học giúp tôi,bat_quat
"ơi, gắt quá, cho dịu ánh sáng hơn đi",tat_den
"này, giảm đèn đi hộ mình",tat_den
"làm ơn phòng đang sáng quá, cho dịu ánh sáng hơn",tat_den
giúp tôi cho mát hơn để ôn bài giúp tôi,bat_quat
"này, mở ánh sáng lên hộ tôi",bat_den
"ơi, em rất cần không khí thoáng hơn với",bat_quat
"ơi, oi bức quá, mở quạt đi đi",bat_quat
giúp tôi mở quạt để học nhé,bat_quat
làm ơn tắt quạt để đọc yên tĩnh hộ mình,tat_quat
giúp tôi tớ muốn tắt đèn,tat_den
làm ơn tôi muốn tắt quạt giúp mình,tat_quat
làm ơn anh muốn tắt quạt nhé,tat_quat
"ơi, mở đèn bàn giúp mình",bat_den
giúp mình ngay bây giờ bật ánh sáng hộ mình,bat_den
"ơi, trời tối rồi, bật đèn lên với",bat_den
"ơi, mồ hôi bắt đầu ra rồi, cho mát hơn hộ mình",bat_quat
"làm ơn quạt làm mình phân tâm, tắt đi giúp tôi",tat_quat
"làm ơn thiếu ánh sáng quá, mở đèn đi nhé",bat_den
"giúp mình phòng đang sáng quá, cho dịu ánh sáng hơn nhé",tat_den
"này, phòng học ngột ngạt quá, bật quạt lên giúp tôi",bat_quat
bật đèn trong phòng để đọc sách với,bat_den
giúp tôi tắt đèn bàn đi đi,tat_den
"này, tớ muốn không khí thoáng hơn hộ mình",bat_quat
"giúp mình phòng tự học mờ quá, mở đèn giúp mình nhé",bat_den
"này, bàn học không thoáng, mở quạt đi hộ tôi",bat_quat
"giúp mình quạt chạy to quá, cho quạt nghỉ đi giúp tôi",tat_quat
giúp mình tớ muốn yên tĩnh hơn nên tắt quạt hộ tôi,tat_quat
giúp tôi không cần quạt nữa nhé,tat_quat
"giúp tôi đủ sáng rồi, bớt sáng lại hộ mình",tat_den
"ơi, quạt đang thổi mạnh quá, thôi không cần quạt nữa giúp tôi",tat_quat
giúp tôi bớt đèn bàn lại với,tat_den
"này, lúc này bật đèn trong phòng với",bat_den
"giúp mình chói mắt quá, bớt sáng lại với",tat_den
"quạt đang thổi mạnh quá, tắt quạt đi.",tat_quat
tắt quạt trong phòng để đỡ ồn với,tat_quat
"mình thấy đủ mát rồi, tắt quạt nhé giúp mình",tat_quat
"này, mát rồi, thôi không cần quạt nữa giúp mình",tat_quat
"này, giảm đèn bàn lại hộ tôi",tat_den
em cần mát hơn!,bat_quat
"ơi, mở quạt để học",bat_quat
giúp tôi lạnh rồi giúp mình,tat_quat
giúp tôi tớ muốn sáng hơn một chút giúp mình,bat_den
Mở quạt trong phòng để mát hơn,bat_quat
"giúp tôi chỗ ngồi hơi tối, bật đèn lên",bat_den
"này, mở đèn cho mình xem tài liệu hộ mình",bat_den
giúp mình bật quạt lên với,bat_quat
"giúp tôi gây chói mắt, cho dịu ánh sáng hơn hộ mình",tat_den
giúp mình mở đèn lên đi,bat_den
giúp mình tắt đèn bàn giúp tôi,tat_den
"ơi, cho tối hơn để thư giãn đi",tat_den
"này, bật đèn để viết bài",bat_den
mở ánh sáng giúp mình,bat_den
"giúp tôi không đủ sáng, bật đèn lên hộ tôi",bat_den
"ơi, mắt mỏi vì đèn quá sáng, cho dịu ánh sáng hơn đi",tat_den
"oi quá, cần gió một chút đi",bat_quat
"ơi, mồ hôi bắt đầu ra rồi, mở quạt đi giúp mình",bat_quat
"này, mở quạt để xem bài giúp tôi",bat_quat
"này, em cần bật quạt giúp tôi",bat_quat
"này, lạnh quá đi",tat_quat
"ơi, không khí bí bách quá, mở quạt đi nhé",bat_quat
"ơi, bật quạt để xem bài cho dễ chịu giúp tôi",bat_quat
làm ơn căn phòng thiếu sáng quá hộ tôi,bat_den
giúp mình bật đèn trong phòng để học hộ mình,bat_den
"giúp tôi cần mát hơn, mở quạt đi với",bat_quat
bật quạt để dễ chịu hơn với,bat_quat
"ơi, mát rồi hộ mình",tat_quat
làm ơn tôi không cần quạt nữa giúp tôi,tat_quat
làm ơn mình không cần đèn nữa hộ tôi,tat_den
làm ơn bớt đèn bàn đi giúp tôi,tat_den
"Phòng hầm quá, bật quạt lên",bat_quat
làm ơn ngay bật quạt bàn nhé,bat_quat
"chói mắt quá, tắt đèn đi đi",tat_den
"giúp mình gắt quá, bớt sáng lại giúp mình",tat_den
"này, ánh sáng mạnh quá nhé",tat_den
"này, phòng tự học bí quá giúp mình",bat_quat
"ơi, em không cần đèn nữa hộ tôi",tat_den
mở đèn bàn để học,bat_den
"giúp mình gió tạt vào người khó chịu, tắt quạt đi với",tat_quat
giúp mình anh cần mát hơn hộ mình,bat_quat
"giúp tôi mình muốn thư giãn, tắt quạt đi giúp tôi",tat_quat
"này, tôi thấy lạnh rồi hộ tôi",tat_quat
giúp tôi bây giờ mở đèn học giúp mình,bat_den
mình đang cần mở đèn để đọc rõ hơn đi,bat_den
"giúp mình bí quá, bật quạt lên nhé",bat_quat
tắt đèn trong phòng để chuẩn bị ngủ đi,tat_den
giúp tôi tắt quạt trong phòng hộ tôi,tat_quat
mình cần mở đèn để đọc rõ hơn đi,bat_den
"làm ơn gây chói mắt, bớt sáng lại với",tat_den
"này, mình rất cần không khí thoáng hơn nhé",bat_quat
giúp mình tớ muốn thêm ánh sáng nhé,bat_den
giúp mình tắt ánh sáng cho mình hộ tôi,tat_den
"này, lạnh rồi, ngừng quạt lại hộ mình",tat_quat
giúp tôi tắt đèn để chuẩn bị ngủ giúp mình,tat_den
"làm ơn chói mắt quá, cho dịu ánh sáng hơn",tat_den
"này, phòng nóng thật, bật quạt lên giúp mình",bat_quat
"này, sáng quá, giảm ánh sáng đi hộ mình",tat_den
"ơi, lúc này mở đèn bàn giúp mình",bat_den
"phòng hầm quá, cần gió một chút với",bat_quat
"giúp tôi hơi lạnh rồi, ngừng quạt lại nhé",tat_quat
mình đang cần thêm ánh sáng!,bat_den
giúp mình mở đèn cho mình xem tài liệu giúp tôi,bat_den
"này, đủ sáng rồi, tắt đèn đi nhé",tat_den
"góc học tối quá, bật đèn lên nhé",bat_den
"này, thấy nóng nực quá, cần gió một chút giúp mình",bat_quat
"giúp mình mình muốn nghỉ, tắt quạt đi giúp tôi",tat_quat
"này, mắt mỏi vì đèn quá sáng, bớt sáng lại giúp mình",tat_den
"quạt chạy to quá, cho quạt nghỉ đi hộ tôi",tat_quat
ngay mở đèn bàn giúp tôi,bat_den
giúp mình không cần sáng nữa hộ tôi,tat_den
"ơi, oi bức quá, mở quạt đi nhé",bat_quat
"giúp mình ra mồ hôi rồi, mở quạt đi hộ tôi",bat_quat
"ơi, gắt quá, giảm ánh sáng đi nhé",tat_den
"ơi, bàn học thiếu sáng quá giúp mình",bat_den
"ơi, tắt đèn cho mình hộ mình",tat_den
tắt quạt để nghỉ.,tat_quat
"ơi, ngay bật đèn học đi",bat_den
oi quá giúp tôi,bat_quat
"ơi, ngay mở đèn học hộ tôi",bat_den
"ơi, cho yên hơn để tập trung hộ mình",tat_quat
"giúp tôi ngột ngạt quá, bật quạt lên giúp mình",bat_quat
"này, oi bức quá hộ mình",bat_quat
anh đang cần mở quạt ngay,bat_quat
"giúp tôi không cần quạt nữa, ngừng quạt lại đi",tat_quat
giúp tôi mở đèn lên để mình tập trung học giúp mình,bat_den
giúp mình bật đèn bàn để đọc sách giúp tôi,bat_den
"ơi, cho yên hơn để nghỉ nhé",tat_quat
"này, mình muốn thư giãn, tắt quạt đi nhé",tat_quat
giúp mình ngay bật quạt điện với,bat_quat
"này, tôi đang cần mát hơn hộ mình",bat_quat
giúp tôi căn phòng nóng quá hộ tôi,bat_quat
làm ơn không thấy rõ hộ mình,bat_den
"này, góc học mờ quá, mở đèn giúp mình giúp tôi",bat_den
giúp mình bây giờ bật đèn bàn hộ tôi,bat_den
"ơi, tắt quạt bàn vì lạnh rồi giúp mình",tat_quat
"ơi, em cần mở đèn để đọc rõ hơn",bat_den
làm ơn bàn học chưa đủ sáng để học giúp tôi,bat_den
"ơi, bây giờ bật quạt trong phòng giúp tôi",bat_quat
giúp mình ngay mở đèn,bat_den
giúp mình mở đèn đi,bat_den
giúp tôi ngay bật đèn trong phòng hộ tôi,bat_den
"giúp mình chói mắt quá, tắt đèn đi hộ mình",tat_den
"khí trong phòng ngột ngạt, mở quạt đi nhé",bat_quat
"này, bây giờ mở quạt giúp mình",bat_quat
"ơi, mở quạt để xem bài giúp tôi",bat_quat
mở quạt điện lên giúp tôi,bat_quat
giúp tôi tắt đèn để thư giãn hộ tôi,tat_den
giúp tôi tớ muốn tắt quạt hộ mình,tat_quat
"ơi, đèn gắt quá hộ tôi",tat_den
giúp mình tắt quạt bàn đi giúp tôi,tat_quat
"giúp tôi ánh sáng mạnh quá, tắt đèn đi hộ mình",tat_den
"ơi, mình muốn yên tĩnh hơn nên tắt quạt hộ tôi",tat_quat
"làm ơn hơi lạnh rồi, tắt quạt đi giúp tôi",tat_quat
mở đèn học để làm bài hộ mình,bat_den
"ơi, chữ mờ quá giúp tôi",bat_den
"này, tôi không cần quạt nữa nhé",tat_quat
làm ơn ngay mở ánh sáng,bat_den
